,Time,Treatment,batch
puspX107,1h,Treat,a
puspX108,1h,Control,a
puspX117,1h,Treat,a
puspX118,1h,Control,a
puspX119,4h,Treat,a
puspX127,1h,Treat,a
puspX128,1h,Control,a
puspX129,1h,Treat,a
puspX130,1h,Control,a
puspX131,4h,Treat,a
puspY107,1h,Treat,a
puspY108,1h,Control,a
puspY117,1h,Treat,a
puspY118,1h,Control,a
puspY119,4h,Treat,a
puspY127,1h,Treat,a
puspY128,1h,Control,a
puspY129,1h,Treat,a
puspY130,1h,Control,a
puspY131,4h,Treat,a
puspX6109,4h,Treat,a
puspX8103,12h,Control,b
puspX8104,12h,Treat,b
puspX8107,12h,Control,b
puspX8108,12h,Treat,b
puspX8111,12h,Control,b
puspX8112,12h,Treat,b
puspX108r,4h,Control,a
puspX118r,4h,Control,a
puspX128r,4h,Control,a
puspX130r,4h,Control,a
puspY108r,4h,Control,a
puspY118r,4h,Control,a
puspY128r,4h,Control,a
puspY130r,4h,Control,a